isic_rev2_4dig;isic_rev31_4dig;isic_rev2_secdig;isic_rev2_1dig;isic_rev2_2dig;isic_rev2_3dig;isic_rev31_secdig;isic_rev31_1dig;isic_rev31_2dig;isic_rev31_3dig
3320;3699;"D";3;33;332;"D";3;36;369
3411;2021;;;;;"D";2;20;202
3411;2101;;;;;"D";2;21;210
3411;2102;;;;;"D";2;21;210
3411;2699;;;;;"D";2;26;269
3412;2102;;;;;"D";2;21;210
3412;2109;;;;;"D";2;21;210
3419;1920;;;;;"D";1;19;192
3419;2101;;;;;"D";2;21;210
3419;2109;;;;;"D";2;21;210
3420;2109;"D";3;34;342;"D";2;21;210
3420;2211;"D";3;34;342;"D";2;22;221
3420;2212;"D";3;34;342;"D";2;22;221
3420;2213;"D";3;34;342;"D";2;22;221
3420;2219;"D";3;34;342;"D";2;22;221
3420;2221;"D";3;34;342;"D";2;22;222
3420;2222;"D";3;34;342;"D";2;22;222
3511;2330;"D";3;35;351;"D";2;23;233
3511;2411;"D";3;35;351;"D";2;24;241
3511;2412;"D";3;35;351;"D";2;24;241
3511;2429;"D";3;35;351;"D";2;24;242
3512;2412;"D";3;35;351;"D";2;24;241
3512;2421;"D";3;35;351;"D";2;24;242
3513;2413;;;;;"D";2;24;241
3513;2430;;;;;"D";2;24;243
3513;2519;;;;;"D";2;25;251
3513;2520;;;;;"D";2;25;252
3521;2422;;;;;"D";2;24;242
3522;2423;;;;;"D";2;24;242
3523;2424;;;;;"D";2;24;242
3529;2422;;;;;"D";2;24;242
3529;2424;;;;;"D";2;24;242
3529;2429;;;;;"D";2;24;242
3529;2927;;;;;"D";2;29;292
3529;3699;;;;;"D";3;36;369
3530;2320;"D";3;35;353;"D";2;23;232
3540;1010;;;;;"C";1;10;101
3540;1020;;;;;"C";1;10;102
3540;2310;;;;;"D";2;23;231
3540;2320;;;;;"D";2;23;232
3540;2699;;;;;"D";2;26;269
3540;3699;;;;;"D";3;36;369
3551;2511;;;;;"D";2;25;251
3551;2519;;;;;"D";2;25;251
3559;1920;;;;;"D";1;19;192
3559;2429;;;;;"D";2;24;242
3559;2519;;;;;"D";2;25;251
3559;3140;;;;;"D";3;31;314
3559;3511;;;;;"D";3;35;351
3559;3512;;;;;"D";3;35;351
3559;3694;;;;;"D";3;36;369
3559;3720;;;;;"D";3;37;372
3560;1920;;;;;"D";1;19;192
3560;2429;;;;;"D";2;24;242
3560;2520;;;;;"D";2;25;252
3560;3140;;;;;"D";3;31;314
3560;3430;;;;;"D";3;34;343
3560;3610;;;;;"D";3;36;361
3560;3699;;;;;"D";3;36;369
3560;3720;;;;;"D";3;37;372
3610;2691;"D";3;36;361;"D";2;26;269
3620;2610;;;;;"D";2;26;261
3620;3190;;;;;"D";3;31;319
3691;2692;"D";3;36;369;"D";2;26;269
3691;2693;"D";3;36;369;"D";2;26;269
3692;2694;"D";3;36;369;"D";2;26;269
3699;1030;"D";3;36;369;"C";1;10;103
3699;2610;"D";3;36;369;"D";2;26;261
3699;2692;"D";3;36;369;"D";2;26;269
3699;2695;"D";3;36;369;"D";2;26;269
3699;2696;"D";3;36;369;"D";2;26;269
3699;2699;"D";3;36;369;"D";2;26;269
3699;2720;"D";3;36;369;"D";2;27;272
3699;3190;"D";3;36;369;"D";3;31;319
3699;3699;"D";3;36;369;"D";3;36;369
3710;2710;"D";3;37;371;"D";2;27;271
3710;2731;"D";3;37;371;"D";2;27;273
3710;2891;"D";3;37;371;"D";2;28;289
3710;2892;"D";3;37;371;"D";2;28;289
3710;3520;"D";3;37;371;"D";3;35;352
3710;3710;"D";3;37;371;"D";3;37;371
3720;2720;"D";3;37;372;"D";2;27;272
3720;2732;"D";3;37;372;"D";2;27;273
3720;2891;"D";3;37;372;"D";2;28;289
3720;2892;"D";3;37;372;"D";2;28;289
3720;3710;"D";3;37;372;"D";3;37;371
3811;2891;;;;;"D";2;28;289
3811;2893;;;;;"D";2;28;289
3811;2899;;;;;"D";2;28;289
3811;2915;;;;;"D";2;29;291
3811;2921;;;;;"D";2;29;292
3811;3699;;;;;"D";3;36;369
3812;2899;;;;;"D";2;28;289
3812;3150;;;;;"D";3;31;315
3812;3311;;;;;"D";3;33;331
3812;3610;;;;;"D";3;36;361
3813;2811;;;;;"D";2;28;281
3813;2812;;;;;"D";2;28;281
3813;2813;;;;;"D";2;28;281
3813;2899;;;;;"D";2;28;289
3813;2930;;;;;"D";2;29;293
3813;3420;;;;;"D";3;34;342
3813;3511;;;;;"D";3;35;351
3819;2710;;;;;"D";2;27;271
3819;2720;;;;;"D";2;27;272
3819;2812;;;;;"D";2;28;281
3819;2891;;;;;"D";2;28;289
3819;2892;;;;;"D";2;28;289
3819;2899;;;;;"D";2;28;289
3819;2912;;;;;"D";2;29;291
3819;2914;;;;;"D";2;29;291
3819;2919;;;;;"D";2;29;291
3819;2921;;;;;"D";2;29;292
3819;2929;;;;;"D";2;29;292
3819;2930;;;;;"D";2;29;293
3819;3150;;;;;"D";3;31;315
3819;3190;;;;;"D";3;31;319
3819;3699;;;;;"D";3;36;369
3819;5260;;;;;"G";5;52;526
3821;2911;;;;;"D";2;29;291
3822;2912;;;;;"D";2;29;291
3822;2915;;;;;"D";2;29;291
3822;2921;;;;;"D";2;29;292
3822;2922;;;;;"D";2;29;292
3823;2893;;;;;"D";2;28;289
3823;2922;;;;;"D";2;29;292
3823;2923;;;;;"D";2;29;292
3823;2929;;;;;"D";2;29;292
3823;3312;;;;;"D";3;33;331
3824;2813;;;;;"D";2;28;281
3824;2912;;;;;"D";2;29;291
3824;2914;;;;;"D";2;29;291
3824;2915;;;;;"D";2;29;291
3824;2919;;;;;"D";2;29;291
3824;2922;;;;;"D";2;29;292
3824;2923;;;;;"D";2;29;292
3824;2924;;;;;"D";2;29;292
3824;2925;;;;;"D";2;29;292
3824;2926;;;;;"D";2;29;292
3824;2929;;;;;"D";2;29;292
3824;3190;;;;;"D";3;31;319
3824;3511;;;;;"D";3;35;351
3825;2919;;;;;"D";2;29;291
3825;3000;;;;;"D";3;30;300
3825;7250;;;;;"K";7;72;725
3829;2892;;;;;"D";2;28;289
3829;2899;;;;;"D";2;28;289
3829;2911;;;;;"D";2;29;291
3829;2912;;;;;"D";2;29;291
3829;2913;;;;;"D";2;29;291
3829;2914;;;;;"D";2;29;291
3829;2915;;;;;"D";2;29;291
3829;2919;;;;;"D";2;29;291
3829;2922;;;;;"D";2;29;292
3829;2924;;;;;"D";2;29;292
3829;2926;;;;;"D";2;29;292
3829;2927;;;;;"D";2;29;292
3829;2929;;;;;"D";2;29;292
3829;2930;;;;;"D";2;29;293
3829;3190;;;;;"D";3;31;319
3829;3311;;;;;"D";3;33;331
3829;3420;;;;;"D";3;34;342
3829;3599;;;;;"D";3;35;359
3829;3694;;;;;"D";3;36;369
3829;3699;;;;;"D";3;36;369
3831;2922;;;;;"D";2;29;292
3831;3110;;;;;"D";3;31;311
3831;3120;;;;;"D";3;31;312
3831;3190;;;;;"D";3;31;319
3831;3210;;;;;"D";3;32;321
3831;3520;;;;;"D";3;35;352
3832;2213;;;;;"D";2;22;221
3832;2230;;;;;"D";2;22;223
3832;3110;;;;;"D";3;31;311
3832;3120;;;;;"D";3;31;312
3832;3190;;;;;"D";3;31;319
3832;3210;;;;;"D";3;32;321
3832;3220;;;;;"D";3;32;322
3832;3230;;;;;"D";3;32;323
3832;3311;;;;;"D";3;33;331
3832;3312;;;;;"D";3;33;331
3833;2930;;;;;"D";2;29;293
3839;3120;;;;;"D";3;31;312
3839;3130;;;;;"D";3;31;313
3839;3140;;;;;"D";3;31;314
3839;3150;;;;;"D";3;31;315
3839;3190;;;;;"D";3;31;319
3841;2911;;;;;"D";2;29;291
3841;2915;;;;;"D";2;29;291
3841;3511;;;;;"D";3;35;351
3841;3512;;;;;"D";3;35;351
3842;3520;;;;;"D";3;35;352
3843;2912;;;;;"D";2;29;291
3843;3190;;;;;"D";3;31;319
3843;3410;;;;;"D";3;34;341
3843;3420;;;;;"D";3;34;342
3843;3430;;;;;"D";3;34;343
3843;3592;;;;;"D";3;35;359
3844;3591;;;;;"D";3;35;359
3844;3592;;;;;"D";3;35;359
3845;3511;;;;;"D";3;35;351
3845;3530;;;;;"D";3;35;353
3849;3592;;;;;"D";3;35;359
3849;3599;;;;;"D";3;35;359
3849;3699;;;;;"D";3;36;369
3851;1729;;;;;"D";1;17;172
3851;2423;;;;;"D";2;24;242
3851;2519;;;;;"D";2;25;251
3851;2914;;;;;"D";2;29;291
3851;2919;;;;;"D";2;29;291
3851;2929;;;;;"D";2;29;292
3851;3190;;;;;"D";3;31;319
3851;3311;;;;;"D";3;33;331
3851;3312;;;;;"D";3;33;331
3851;3313;;;;;"D";3;33;331
3852;3000;;;;;"D";3;30;300
3852;3311;;;;;"D";3;33;331
3852;3312;;;;;"D";3;33;331
3852;3320;;;;;"D";3;33;332
3853;3330;;;;;"D";3;33;333
3901;2892;;;;;"D";2;28;289
3901;2899;;;;;"D";2;28;289
3901;3330;;;;;"D";3;33;333
3901;3691;;;;;"D";3;36;369
3902;3692;;;;;"D";3;36;369
3903;3692;;;;;"D";3;36;369
3903;3693;;;;;"D";3;36;369
3903;3694;;;;;"D";3;36;369
3909;1810;;;;;"D";1;18;181
3909;1912;;;;;"D";1;19;191
3909;2101;;;;;"D";2;21;210
3909;2109;;;;;"D";2;21;210
3909;2221;;;;;"D";2;22;222
3909;2422;;;;;"D";2;24;242
3909;2899;;;;;"D";2;28;289
3909;2926;;;;;"D";2;29;292
3909;3150;;;;;"D";3;31;315
3909;3592;;;;;"D";3;35;359
3909;3694;;;;;"D";3;36;369
3909;3699;;;;;"D";3;36;369
4101;4010;;;;;"E";4;40;401
4102;4020;;;;;"E";4;40;402
4103;4030;;;;;"E";4;40;403
4200;4100;;;;;"E";4;41;410
5000;1120;;;;;"C";1;11;112
5000;4510;;;;;"F";4;45;451
5000;4520;;;;;"F";4;45;452
5000;4530;;;;;"F";4;45;453
5000;4540;;;;;"F";4;45;454
5000;4550;;;;;"F";4;45;455
5000;7421;;;;;"K";7;74;742
5000;7422;;;;;"K";7;74;742
6100;3710;;;;;"D";3;37;371
6100;3720;;;;;"D";3;37;372
6100;5010;;;;;"G";5;50;501
6100;5030;;;;;"G";5;50;503
6100;5040;;;;;"G";5;50;504
6100;5110;;;;;"G";5;51;511
6100;5121;;;;;"G";5;51;512
6100;5122;;;;;"G";5;51;512
6100;5131;;;;;"G";5;51;513
6100;5139;;;;;"G";5;51;513
6100;5141;;;;;"G";5;51;514
6100;5142;;;;;"G";5;51;514
6100;5143;;;;;"G";5;51;514
6100;5149;;;;;"G";5;51;514
6100;5151;;;;;"G";5;51;515
6100;5152;;;;;"G";5;51;515
6100;5159;;;;;"G";5;51;515
6100;5190;;;;;"G";5;51;519
6200;5010;;;;;"G";5;50;501
6200;5030;;;;;"G";5;50;503
6200;5040;;;;;"G";5;50;504
6200;5050;;;;;"G";5;50;505
6200;5211;;;;;"G";5;52;521
6200;5219;;;;;"G";5;52;521
6200;5220;;;;;"G";5;52;522
6200;5231;;;;;"G";5;52;523
6200;5232;;;;;"G";5;52;523
6200;5233;;;;;"G";5;52;523
6200;5234;;;;;"G";5;52;523
6200;5239;;;;;"G";5;52;523
6200;5240;;;;;"G";5;52;524
6200;5251;;;;;"G";5;52;525
6200;5252;;;;;"G";5;52;525
6200;5259;;;;;"G";5;52;525
6200;7130;;;;;"K";7;71;713
6310;5520;;;;;"H";5;55;552
6320;5510;;;;;"H";5;55;551
7111;5510;"K";7;71;711;"H";5;55;551
7111;5520;"K";7;71;711;"H";5;55;552
7111;6010;"K";7;71;711;"I";6;60;601
7111;6021;"K";7;71;711;"I";6;60;602
7111;6303;"K";7;71;711;"I";6;63;630
7112;5020;"K";7;71;711;"G";5;50;502
7112;6021;"K";7;71;711;"I";6;60;602
7112;6303;"K";7;71;711;"I";6;63;630
7113;6021;"K";7;71;711;"I";6;60;602
7113;6022;"K";7;71;711;"I";6;60;602
7114;6023;;;;;"I";6;60;602
7114;6303;;;;;"I";6;63;630
7114;6412;;;;;"I";6;64;641
7115;6030;;;;;"I";6;60;603
7116;6301;;;;;"I";6;63;630
7116;6303;;;;;"I";6;63;630
7116;7111;;;;;"K";7;71;711
7121;6110;"K";7;71;712;"I";6;61;611
7122;6120;"K";7;71;712;"I";6;61;612
7122;6303;"K";7;71;712;"I";6;63;630
7123;6301;"K";7;71;712;"I";6;63;630
7123;6303;"K";7;71;712;"I";6;63;630
7123;6309;"K";7;71;712;"I";6;63;630
7123;7112;"K";7;71;712;"K";7;71;711
7131;6210;;;;;"I";6;62;621
7131;6220;;;;;"I";6;62;622
7131;6412;;;;;"I";6;64;641
7132;6301;;;;;"I";6;63;630
7132;6303;;;;;"I";6;63;630
7132;6420;;;;;"I";6;64;642
7132;7113;;;;;"K";7;71;711
7191;6303;;;;;"I";6;63;630
7191;6304;;;;;"I";6;63;630
7191;6309;;;;;"I";6;63;630
7191;6412;;;;;"I";6;64;641
7192;6302;;;;;"I";6;63;630
7200;6411;;;;;"I";6;64;641
7200;6420;;;;;"I";6;64;642
7200;7499;;;;;"K";7;74;749
8101;6511;;;;;"J";6;65;651
8101;6519;;;;;"J";6;65;651
8102;6519;;;;;"J";6;65;651
8102;6591;;;;;"J";6;65;659
8102;6592;;;;;"J";6;65;659
8102;6599;;;;;"J";6;65;659
8102;6712;;;;;"J";6;67;671
8102;6719;;;;;"J";6;67;671
8103;6599;;;;;"J";6;65;659
8103;6711;;;;;"J";6;67;671
8103;6719;;;;;"J";6;67;671
8200;6601;;;;;"J";6;66;660
8200;6602;;;;;"J";6;66;660
8200;6603;;;;;"J";6;66;660
8200;6720;;;;;"J";6;67;672
8310;4520;;;;;"F";4;45;452
8310;7010;;;;;"K";7;70;701
8310;7020;;;;;"K";7;70;702
8321;7411;;;;;"K";7;74;741
8322;7412;;;;;"K";7;74;741
8323;7210;;;;;"K";7;72;721
8323;7221;;;;;"K";7;72;722
8323;7229;;;;;"K";7;72;722
8323;7230;;;;;"K";7;72;723
8323;7240;;;;;"K";7;72;724
8323;7290;;;;;"K";7;72;729
8324;7310;;;;;"K";7;73;731
8324;7421;;;;;"K";7;74;742
8324;7422;;;;;"K";7;74;742
8325;7413;;;;;"K";7;74;741
8325;7430;;;;;"K";7;74;743
8325;7499;;;;;"K";7;74;749
8329;140;;;;;"A";0;1;14
8329;7320;;;;;"K";7;73;732
8329;7414;;;;;"K";7;74;741
8329;7430;;;;;"K";7;74;743
8329;7491;;;;;"K";7;74;749
8329;7492;;;;;"K";7;74;749
8329;7495;;;;;"K";7;74;749
8329;7499;;;;;"K";7;74;749
8329;9220;;;;;"O";9;92;922
8329;9309;;;;;"O";9;93;930
8330;7121;;;;;"K";7;71;712
8330;7122;;;;;"K";7;71;712
8330;7123;;;;;"K";7;71;712
8330;7129;;;;;"K";7;71;712
8330;7130;;;;;"K";7;71;713
9100;7511;;;;;"L";7;75;751
9100;7512;;;;;"L";7;75;751
9100;7513;;;;;"L";7;75;751
9100;7514;;;;;"L";7;75;751
9100;7521;;;;;"L";7;75;752
9100;7522;;;;;"L";7;75;752
9100;7523;;;;;"L";7;75;752
9100;7530;;;;;"L";7;75;753
9200;7493;;;;;"K";7;74;749
9200;9000;;;;;"O";9;90;900
9310;8010;;;;;"M";8;80;801
9310;8021;;;;;"M";8;80;802
9310;8022;;;;;"M";8;80;802
9310;8030;;;;;"M";8;80;803
9310;8090;;;;;"M";8;80;809
9310;8532;;;;;"N";8;85;853
9310;9219;;;;;"O";9;92;921
9320;7310;;;;;"K";7;73;731
9320;7320;;;;;"K";7;73;732
9331;3311;;;;;"D";3;33;331
9331;8511;;;;;"N";8;85;851
9331;8512;;;;;"N";8;85;851
9331;8519;;;;;"N";8;85;851
9332;140;;;;;"A";0;1;14
9332;8520;;;;;"N";8;85;852
9332;9309;;;;;"O";9;93;930
9340;5520;;;;;"H";5;55;552
9340;8531;;;;;"N";8;85;853
9340;8532;;;;;"N";8;85;853
9350;9111;;;;;"O";9;91;911
9350;9112;;;;;"O";9;91;911
9350;9120;;;;;"O";9;91;912
9391;9191;;;;;"O";9;91;919
9399;9192;;;;;"O";9;91;919
9399;9199;;;;;"O";9;91;919
9411;2230;;;;;"D";2;22;223
9411;9211;;;;;"O";9;92;921
9411;9249;;;;;"O";9;92;924
9412;7130;;;;;"K";7;71;713
9412;9211;;;;;"O";9;92;921
9412;9212;;;;;"O";9;92;921
9413;6420;;;;;"I";6;64;642
9413;9213;;;;;"O";9;92;921
9414;7130;;;;;"K";7;71;713
9414;7499;;;;;"K";7;74;749
9414;9211;;;;;"O";9;92;921
9414;9214;;;;;"O";9;92;921
9414;9219;;;;;"O";9;92;921
9414;9249;;;;;"O";9;92;924
9415;9214;;;;;"O";9;92;921
9420;9231;;;;;"O";9;92;923
9420;9232;;;;;"O";9;92;923
9420;9233;;;;;"O";9;92;923
9490;140;;;;;"A";0;1;14
9490;7111;;;;;"K";7;71;711
9490;7130;;;;;"K";7;71;713
9490;9219;;;;;"O";9;92;921
9490;9241;;;;;"O";9;92;924
9490;9249;;;;;"O";9;92;924
9490;9309;;;;;"O";9;93;930
9511;5260;;;;;"G";5;52;526
9512;4530;;;;;"F";4;45;453
9512;5260;;;;;"G";5;52;526
9513;5020;;;;;"G";5;50;502
9513;5040;;;;;"G";5;50;504
9514;5260;;;;;"G";5;52;526
9519;5040;;;;;"G";5;50;504
9519;5260;;;;;"G";5;52;526
9519;7250;;;;;"K";7;72;725
9520;5260;;;;;"G";5;52;526
9520;9301;;;;;"O";9;93;930
9530;9500;;;;;"P";9;95;950
9591;8090;;;;;"M";8;80;809
9591;9302;;;;;"O";9;93;930
9592;7494;;;;;"K";7;74;749
9599;6304;;;;;"I";6;63;630
9599;7493;;;;;"K";7;74;749
9599;9303;;;;;"O";9;93;930
9599;9309;;;;;"O";9;93;930
9600;9900;;;;;"Q";9;99;990
;9600;;;;;"P";9;96;960
;9700;;;;;"P";9;97;970
