isic_rev3_4dig;isic_rev31_4dig;isic_rev31_secdig;isic_rev3_secdig
5020;5020;"G";"G"
5030;5030;"G";"G"
5040;5040;"G";"G"
5050;5050;"G";"G"
5110;5110;"G";"G"
5121;5121;"G";"G"
5122;5122;"G";"G"
5131;5131;"G";"G"
5139;5139;"G";"G"
5141;5141;"G";"G"
5142;5142;"G";"G"
5143;5143;"G";"G"
5149;5149;"G";"G"
5150;5151;"G";"G"
5150;5152;"G";"G"
5150;5159;"G";"G"
5190;5190;"G";"G"
5211;5211;"G";"G"
5219;5219;"G";"G"
5220;5220;"G";"G"
5231;5231;"G";"G"
5232;5232;"G";"G"
5233;5233;"G";"G"
5234;5234;"G";"G"
5239;5239;"G";"G"
5240;5240;"G";"G"
5240;6592;"J";"G"
5251;5251;"G";"G"
5252;5252;"G";"G"
5259;5259;"G";"G"
5260;5260;"G";"G"
5510;5510;"H";"H"
5520;5520;"H";"H"
6010;6010;"I";"I"
6021;6021;"I";"I"
6022;6022;"I";"I"
6023;6023;"I";"I"
6030;6030;"I";"I"
6110;6110;"I";"I"
6120;6120;"I";"I"
6210;6210;"I";"I"
6220;6220;"I";"I"
6301;6301;"I";"I"
6302;6302;"I";"I"
6303;6303;"I";"I"
6304;6304;"I";"I"
6309;6309;"I";"I"
6411;6411;"I";"I"
6412;6412;"I";"I"
6420;6420;"I";"I"
6511;6511;"J";"J"
6519;6519;"J";"J"
6591;6591;"J";"J"
6592;6592;"J";"J"
6599;6599;"J";"J"
6601;6601;"J";"J"
6602;6602;"J";"J"
6603;6603;"J";"J"
6711;6711;"J";"J"
6712;6712;"J";"J"
6719;6719;"J";"J"
6720;6720;"J";"J"
7010;7010;"K";"K"
7020;7020;"K";"K"
7111;7111;"K";"K"
7112;7112;"K";"K"
7113;7113;"K";"K"
7121;7121;"K";"K"
7122;7122;"K";"K"
7123;7123;"K";"K"
7129;7129;"K";"K"
7130;7130;"K";"K"
7210;7210;"K";"K"
7220;7221;"K";"K"
7220;7229;"K";"K"
7230;7230;"K";"K"
7240;7240;"K";"K"
7250;7250;"K";"K"
7290;7290;"K";"K"
7310;7310;"K";"K"
7320;7320;"K";"K"
7411;7411;"K";"K"
7412;7412;"K";"K"
7413;7413;"K";"K"
7414;7414;"K";"K"
7421;7421;"K";"K"
7422;7422;"K";"K"
7430;7430;"K";"K"
7491;7491;"K";"K"
7492;7492;"K";"K"
7493;7493;"K";"K"
7494;7494;"K";"K"
7494;9309;"O";"K"
7495;7495;"K";"K"
7499;7494;"K";"K"
7499;7499;"K";"K"
7511;7511;"L";"L"
7512;7512;"L";"L"
7513;7513;"L";"L"
7514;7514;"L";"L"
7521;7521;"L";"L"
7522;7522;"L";"L"
7523;7523;"L";"L"
7530;7530;"L";"L"
8010;8010;"M";"M"
8021;8021;"M";"M"
8022;8022;"M";"M"
8030;8030;"M";"M"
8090;8010;"M";"M"
8090;8021;"M";"M"
8090;8090;"M";"M"
8090;8022;"M";"M"
8511;8511;"N";"N"
8512;8512;"N";"N"
8519;8519;"N";"N"
8520;8520;"N";"N"
8531;8531;"N";"N"
8532;8532;"N";"N"
8532;5520;"H";"N"
9000;9000;"O";"O"
9111;9111;"O";"O"
9112;9112;"O";"O"
9120;9120;"O";"O"
9191;9191;"O";"O"
9192;9192;"O";"O"
9199;9199;"O";"O"
9211;9211;"O";"O"
9212;9212;"O";"O"
9213;9213;"O";"O"
9214;9214;"O";"O"
9219;9219;"O";"O"
9220;9220;"O";"O"
9231;9231;"O";"O"
9232;9232;"O";"O"
9233;9233;"O";"O"
9241;9241;"O";"O"
9249;9249;"O";"O"
9249;9211;"O";"O"
9249;9241;"O";"O"
9301;9301;"O";"O"
9302;9302;"O";"O"
9303;9303;"O";"O"
9309;6420;"I";"O"
9309;9309;"O";"O"
9500;9500;"P";"P"
9900;9900;"Q";"Q"
;9700;"P";
;9600;"P";
